SKU,User,Title,Content,Points,Status,Comment,Date of Review,Review_Type,Cleaned_Content,Cleaned_Comment,Combined_Text,Content_Comment_Consistency,Comment_vs_Content_Difference
E1016139,Felix Felicis,Frage,I watched a YouTube video about the Elderstaff and have a question: Is it true that the Elderstaff breaks easily?,5.0,1,"Hi Felix, we cannot confirm that. Our Elder Staff is still completely intact. Since these are collector's items, it also always depends on how the staff is handled. Best wishes from the Elvenwood!",2018-01-01 12:06:53,critic,watch youtub video elderstaff question true elderstaff break easili,hi felix cannot confirm elder staff still complet intact sinc collector item also alway depend staff handl best wish elvenwood,watch youtub video elderstaff question true elderstaff break easili hi felix cannot confirm elder staff still complet intact sinc collector item also alway depend staff handl best wish elvenwood,0.977247,0.028005334
E1035119,Mrs Snape,Gewicht,"Dear Elbenwald Team,
I am planning to purchase this trailer and have it shipped by post. Therefore, it is very important for me to know how much this trailer weighs. Are there any specifications available regarding this?",5.0,1,"Hi Mrs. Snape, the key fob weighs about 60 grams. Best regards from the Elvenwood!",2018-01-01 13:26:10,critic,dear elbenwald team plan purchas trailer ship post therefor import know much trailer weigh specif avail regard,hi mr snape key fob weigh gram best regard elvenwood,dear elbenwald team plan purchas trailer ship post therefor import know much trailer weigh specif avail regard hi mr snape key fob weigh gram best regard elvenwood,0.974765,0.021269482
E1049023,Diana,Leider mittelmäßig,"I find the ring incredibly beautiful and it really makes a statement. However, unlike my 10-year-old ""original,"" it fell apart while driving (literally) after wearing it for less than a week, without me doing anything improper with it. I'm curious to see what customer service has to say when I contact them after the turn of the year.",2.0,1,"Hi Diana, this should of course not have happened and we honestly apologize. Please contact our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a> with a short message, we would be happy to assist you with the exchange. Best regards from Elbenwald!",2018-01-01 19:42:12,user,find ring incred beauti realli make statement howev unlik yearold origin fell apart drive liter wear less week without anyth improp im curiou see custom servic say contact turn year,hi diana cours happen honestli apolog pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta short messag would happi assist exchang best regard elbenwald,find ring incred beauti realli make statement howev unlik yearold origin fell apart drive liter wear less week without anyth improp im curiou see custom servic say contact turn year hi diana cours happen honestli apolog pleas contact hrefhttpswwwelbenwalddekontaktformularcustom supporta short messag would happi assist exchang best regard elbenwald,0.89456195,0.09650997
E1001487,Nolan224206,An das Eldenwald team,"Can you use the shabby one well for already duels and would it be better to buy the shabby one in the Karate Edition and would it be better to buy the wand in a wholesale store in Eldenwald or a small one because where I live there is only one Eldenwald store in Kaiserslautern in the mall. 
PS Thanks for uploading such great videos on YouTube, I've been following you for a long time and I'm always happy when a new video comes out.",5.0,1,"Hi Nolan, here is the response from the wand expert Chris: ""Yes, it is suitable for show duels. A bit long, but it is plain and stable and easy to grip. No frills that could break quickly."" Whether you choose the Ollivander or the Character Edition depends on how you want to store the wand between duels. The wands do not differ between the two variants. Both variants are currently in stock in Kaiserslautern, and there is also another variant with the wand in plain packaging. My colleagues on site will be happy to advise you. Best regards from the Elven Forest!",2018-01-02 05:40:31,user,use shabbi one well alreadi duel would better buy shabbi one karat edit would better buy wand wholesal store eldenwald small one live one eldenwald store kaiserslautern mall ps thank upload great video youtub ive follow long time im alway happi new video come,hi nolan respons wand expert chri ye suitabl show duel bit long plain stabl easi grip frill could break quickli whether choos ollivand charact edit depend want store wand duel wand differ two variant variant current stock kaiserslautern also anoth variant wand plain packag colleagu site happi advis best regard elven forest,use shabbi one well alreadi duel would better buy shabbi one karat edit would better buy wand wholesal store eldenwald small one live one eldenwald store kaiserslautern mall ps thank upload great video youtub ive follow long time im alway happi new video come hi nolan respons wand expert chri ye suitabl show duel bit long plain stabl easi grip frill could break quickli whether choos ollivand charact edit depend want store wand duel wand differ two variant variant current stock kaiserslautern also anoth variant wand plain packag colleagu site happi advis best regard elven forest,0.9403838,0.015095517
E1048135,Christiane,Guter Inhalt,"Hi, actually not to be published: the glass is quite nice, but it was pretty dirty and the packaging was already very damaged. It was also just unprotected under two other items in the box. Luckily, it survived intact.",4.0,1,"Hi Christiane, that shouldn't have happened, and I can only apologize to you for it. Best wishes from the Elbenwald!",2018-01-02 17:03:03,user,hi actual publish glass quit nice pretti dirti packag alreadi damag also unprotect two item box luckili surviv intact,hi christian shouldnt happen apolog best wish elbenwald,hi actual publish glass quit nice pretti dirti packag alreadi damag also unprotect two item box luckili surviv intact hi christian shouldnt happen apolog best wish elbenwald,0.9588355,0.04162807
E1007349,Draco (nv),Frage....,Can you also learn the languages of the Elves in this book???????,5.0,1,"Hi Draco, with the help of this book, you can certainly start learning Elvish, as it explains the basics very well. Best wishes from the Elvenwood!",2018-01-03 11:01:57,critic,also learn languag elv book,hi draco help book certainli start learn elvish explain basic well best wish elvenwood,also learn languag elv book hi draco help book certainli start learn elvish explain basic well best wish elvenwood,0.9904474,0.026772402
E1001824,Mino,Cosplay,"Hello dear Elbenwald team,

I am currently working on putting together my Draco Malfoy cosplay and have been wondering if the Nimbus 2001 wouldn't be a great addition to my cosplay. Is it suitable for cosplay? I mean, it's quite an investment, and if it somehow gets damaged, that would be a shame... (I know how conventions go :D)

Thanks in advance. :)
Best regards,
Mino",5.0,1,"Hi Mino, this broom is a collector's item and is less suitable for use. Therefore, we cannot guarantee that it will survive a convention without damage. Best wishes from the Elvenwood!",2018-01-03 11:44:04,user,hello dear elbenwald team current work put togeth draco malfoy cosplay wonder nimbu wouldnt great addit cosplay suitabl cosplay mean quit invest somehow get damag would shame know convent go thank advanc best regard mino,hi mino broom collector item less suitabl use therefor cannot guarante surviv convent without damag best wish elvenwood,hello dear elbenwald team current work put togeth draco malfoy cosplay wonder nimbu wouldnt great addit cosplay suitabl cosplay mean quit invest somehow get damag would shame know convent go thank advanc best regard mino hi mino broom collector item less suitabl use therefor cannot guarante surviv convent without damag best wish elvenwood,0.9847773,0.019269364
E1040991,Tiina,Schlechte Qualität,"I washed the sweater only once, on the left side and according to the instructions. The colors are now faded as if it had been washed 100 times, and my daughter is very sad :-(",2.0,1,"Hi Tiina, we are truly sorry about this. Please send us a short message to our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!",2018-01-03 14:57:13,user,wash sweater left side accord instruct color fade wash time daughter sad,hi tiina truli sorri pleas send us short messag hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,wash sweater left side accord instruct color fade wash time daughter sad hi tiina truli sorri pleas send us short messag hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,0.89332175,0.06796504
E1045811,Florian,Nicht so gut,"After the first wash, all that was left of the red was a pale pink. Now it's my girlfriend's... Not the quality I'm used to from Elbenwald. A shame.",2.0,1,"Hi Florian, we are truly sorry about that. Please send a short message to our <a href=""https://www.elbenwald.de/Kontaktformular"">customer support</a>, together we will surely find a solution. Best regards from Elbenwald!",2018-01-03 15:22:47,user,first wash left red pale pink girlfriend qualiti im use elbenwald shame,hi florian truli sorri pleas send short messag hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,first wash left red pale pink girlfriend qualiti im use elbenwald shame hi florian truli sorri pleas send short messag hrefhttpswwwelbenwalddekontaktformularcustom supporta togeth sure find solut best regard elbenwald,0.9631857,0.03904052
E1000642,Kleene,Bin sehr enttäuscht,"I always expect good quality from Elbenwald and my expectations have mostly been met, but I am more than disappointed with this product.

The gilded zinc alloy looks more like plastic, and when I inquired at the hotline, they simply told me that I could return it if I was dissatisfied with the product.

In my opinion, Elbenwald should check with the manufacturer to see if it really is a gilded zinc alloy.

Furthermore, my hourglass is dirty inside.

I will keep the time-turner nonetheless because I am a huge fan.
However, I am not satisfied.",2.0,1,"Hi Kleene, of course we'll exchange your time turner with the dirty hourglass, so you don't have to live with it. The material is correct, we checked this again just recently. A zinc alloy is very light, and together with the soft gilding, it can feel like magic is at play. Best wishes from the Elvenwood!",2018-01-03 16:47:23,user,alway expect good qualiti elbenwald expect mostli met disappoint product gild zinc alloy look like plastic inquir hotlin simpli told could return dissatisfi product opinion elbenwald check manufactur see realli gild zinc alloy furthermor hourglass dirti insid keep timeturn nonetheless huge fan howev satisfi,hi kleen cours well exchang time turner dirti hourglass dont live materi correct check recent zinc alloy light togeth soft gild feel like magic play best wish elvenwood,alway expect good qualiti elbenwald expect mostli met disappoint product gild zinc alloy look like plastic inquir hotlin simpli told could return dissatisfi product opinion elbenwald check manufactur see realli gild zinc alloy furthermor hourglass dirti insid keep timeturn nonetheless huge fan howev satisfi hi kleen cours well exchang time turner dirti hourglass dont live materi correct check recent zinc alloy light togeth soft gild feel like magic play best wish elvenwood,0.9690881,0.03588677
